nctid,neoplasm_category,neoplasm
NCT02400827,Neoplastic Processes,"Neoplasm, Residual"
NCT03133273,Neoplasms by Site,Colorectal Neoplasms
NCT06364631,Neoplasms by Site,Kidney Neoplasms
NCT06364631,Neoplasms by Histologic Type,Carcinoma
NCT00207831,Neoplasms by Site,Rectal Neoplasms
NCT00207831,Neoplasms by Histologic Type,Adenocarcinoma
NCT04458831,Neoplasms by Histologic Type,Multiple Myeloma
NCT04570631,Neoplasms by Histologic Type,Multiple Myeloma
NCT00385827,Neoplasms by Site,Prostatic Neoplasms
NCT04624373,Neoplasms by Site,Lung Neoplasms
NCT03828773,Neoplasms by Histologic Type,Leukemia
NCT05601973,Neoplasms by Site,Lung Neoplasms
NCT05273931,Neoplasms by Site,Colorectal Neoplasms
NCT01808573,Neoplasms by Site,Breast Neoplasms
NCT05364073,Neoplasms by Site,Lung Neoplasms
NCT01999673,Neoplasms by Site,Lung Neoplasms
NCT01999673,Neoplasms by Histologic Type,Carcinoma
NCT02993731,Neoplasms by Site,Pancreatic Neoplasms
NCT02993731,Neoplasms by Histologic Type,Adenocarcinoma
NCT01717131,Neoplasms by Site,Breast Neoplasms
NCT02286531,Neoplasms by Histologic Type,Glioma
NCT03741231,Neoplasms by Site,Skin Neoplasms
NCT03741231,Neoplasms by Histologic Type,Melanoma
NCT02917473,Neoplasms by Site,Skin Neoplasms
NCT02917473,Neoplasms by Histologic Type,Melanoma
NCT01214031,Neoplasms by Histologic Type,Adenomatous Polyps
NCT06152731,Neoplasms by Site,Ovarian Neoplasms
NCT06152731,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT02273973,Neoplasms by Site,Breast Neoplasms
NCT05045573,Neoplasms by Site,Liver Neoplasms
NCT05045573,Neoplasms by Histologic Type,Carcinoma
NCT00180973,Neoplasms by Site,Nasopharyngeal Neoplasms
NCT00180973,Neoplasms by Histologic Type,Carcinoma
NCT02262273,Neoplasms by Site,Ovarian Neoplasms
NCT02262273,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT00926731,Neoplasms by Histologic Type,Leukemia
NCT02010931,Neoplasms by Histologic Type,Leukemia
NCT00382031,Neoplasms by Site,Head and Neck Neoplasms
NCT00382031,Neoplasms by Histologic Type,"Neoplasms, Squamous Cell"
NCT06195527,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT03107273,Precancerous Conditions,Preleukemia
NCT04803773,Neoplasms by Site,Bone Neoplasms
NCT04803773,Neoplasms by Histologic Type,Osteoma
NCT04803773,Neoplastic Processes,Neoplasm Metastasis
NCT02800473,Neoplasms by Site,Urinary Bladder Neoplasms
NCT01336231,Neoplasms by Site,Kidney Neoplasms
NCT01336231,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT03581331,Neoplasms by Site,Cranial Nerve Neoplasms
NCT03581331,Neoplasms by Histologic Type,Neurilemmoma
NCT02148731,Neoplasms by Site,Colonic Neoplasms
NCT04785820,Neoplasms by Site,Esophageal Neoplasms
NCT04785820,Neoplasms by Histologic Type,Carcinoma
NCT01977274,Neoplasms by Site,Uterine Cervical Neoplasms
NCT01415674,Neoplasms by Site,Head and Neck Neoplasms
NCT01415674,Neoplasms by Histologic Type,Carcinoma
NCT01142674,Neoplasms by Histologic Type,Lymphoma
NCT03233074,Neoplasms by Histologic Type,"Leukemia, Myeloid"
NCT03233074,Precancerous Conditions,Preleukemia
NCT06276465,Neoplasms by Site,Prostatic Neoplasms
NCT03885765,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT02633020,Neoplasms by Histologic Type,Lymphoma
NCT02752074,Neoplasms by Site,Skin Neoplasms
NCT02752074,Neoplasms by Histologic Type,Melanoma
NCT02473965,Neoplasms by Site,Myasthenia Gravis
NCT02473965,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT02895620,Neoplasms by Site,Urinary Bladder Neoplasms
NCT02895620,Neoplasms by Histologic Type,Non-Muscle Invasive Bladder Neoplasms
NCT02434120,Neoplasms by Site,Orbital Neoplasms
NCT01723020,Neoplasms by Histologic Type,Multiple Myeloma
NCT05963074,Neoplasms by Histologic Type,Leukemia
NCT02667574,Neoplasms by Histologic Type,Carcinoma
NCT03099174,Neoplasms by Site,Breast Neoplasms
NCT05186974,Neoplasms by Site,Lung Neoplasms
NCT00903565,Neoplasms by Site,Colonic Neoplasms
NCT04595565,Neoplasms by Site,Breast Neoplasms
NCT02619565,Precancerous Conditions,Preleukemia
NCT06624865,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT06624865,Neoplastic Processes,Carcinogenesis
NCT01419665,Neoplasms by Histologic Type,Lymphoma
NCT01301820,Neoplasms by Histologic Type,Leukemia
NCT04593420,Neoplasms by Site,Prostatic Neoplasms
NCT06393374,Neoplasms by Site,Breast Neoplasms
NCT02576574,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT06396065,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT02308020,Neoplasms by Site,Breast Neoplasms
NCT02308020,Neoplasms by Histologic Type,Melanoma
NCT02308020,Neoplastic Processes,Neoplasm Metastasis
NCT02239120,Neoplastic Processes,Neoplasm Metastasis
NCT01788020,Neoplasms by Histologic Type,Waldenstrom Macroglobulinemia
NCT00534274,Neoplasms by Site,Breast Neoplasms
NCT01843374,Neoplasms by Site,Lung Neoplasms
NCT01843374,Neoplasms by Histologic Type,Mesothelioma
NCT00064974,Precancerous Conditions,Preleukemia
NCT04149574,Neoplasms by Site,Urinary Bladder Neoplasms
NCT04149574,Neoplasms by Histologic Type,Non-Muscle Invasive Bladder Neoplasms
NCT01910974,Neoplasms by Site,Stomach Neoplasms
NCT05246774,Neoplasms by Site,Prostatic Neoplasms
NCT00293865,Neoplasms by Site,Breast Neoplasms
NCT03412565,Neoplasms by Histologic Type,Multiple Myeloma
NCT05283720,Neoplasms by Histologic Type,Lymphoma
NCT06062420,Neoplasms by Site,Head and Neck Neoplasms
NCT06062420,Neoplasms by Histologic Type,"Carcinoma, Squamous Cell"
NCT00918320,Neoplasms by Histologic Type,Neuroblastoma
NCT06332274,Neoplasms by Site,Pancreatic Neoplasms
NCT06332274,Neoplasms by Histologic Type,Sarcoma
NCT06649474,Neoplasms by Site,Esophageal Neoplasms
NCT06649474,Neoplasms by Histologic Type,Adenocarcinoma
NCT00699374,Neoplasms by Site,Liver Neoplasms
NCT00699374,Neoplasms by Histologic Type,Carcinoma
NCT02308865,Neoplasms by Site,Lung Neoplasms
NCT00428220,Neoplasms by Site,Breast Neoplasms
NCT00428220,Neoplasms by Histologic Type,Carcinoma
NCT06319820,Neoplasms by Site,Urinary Bladder Neoplasms
NCT06319820,Neoplasms by Histologic Type,Non-Muscle Invasive Bladder Neoplasms
NCT05164874,Neoplasms by Site,Breast Neoplasms
NCT05924074,Precancerous Conditions,Preleukemia
NCT03876574,Neoplasms by Site,Nasopharyngeal Neoplasms
NCT03876574,Neoplasms by Histologic Type,Carcinoma
NCT03876574,Neoplastic Processes,Neoplasm Metastasis
NCT04101331,Neoplasms by Histologic Type,Lymphoma
NCT00189631,Neoplasms by Site,Breast Neoplasms
NCT05821231,Neoplasms by Histologic Type,Sarcoma
NCT01610531,Neoplasms by Site,Skin Neoplasms
NCT01610531,Neoplasms by Histologic Type,Melanoma
NCT01455831,Neoplasms by Site,Colorectal Neoplasms
NCT01455831,Neoplasms by Histologic Type,Adenocarcinoma
NCT02581631,Neoplasms by Histologic Type,"Lymphoma, Non-Hodgkin"
NCT03353831,Neoplasms by Site,Ovarian Neoplasms
NCT03353831,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT01788982,Neoplasms by Site,Thyroid Neoplasms
NCT01788982,Neoplasms by Histologic Type,"Carcinoma, Neuroendocrine"
NCT00077220,Neoplasms by Site,Lung Neoplasms
NCT05714774,Neoplasms by Site,Prostatic Neoplasms
NCT05483374,Neoplasms by Site,Head and Neck Neoplasms
NCT00123474,Neoplasms by Histologic Type,Leukemia
NCT03363373,Neoplasms by Histologic Type,Neuroblastoma
NCT04892173,Neoplasms by Site,Head and Neck Neoplasms
NCT04892173,Neoplasms by Histologic Type,Squamous Cell Carcinoma of Head and Neck
NCT05496231,Precancerous Conditions,Uterine Cervical Dysplasia
NCT03906331,Neoplasms by Site,Thyroid Neoplasms
NCT03906331,Neoplasms by Histologic Type,"Thyroid Cancer, Papillary"
NCT05240131,Neoplasms by Site,Lung Neoplasms
NCT02338531,Neoplasms by Site,Breast Neoplasms
NCT05563831,Neoplasms by Histologic Type,Lymphangioma
NCT06114082,Neoplasms by Site,Liver Neoplasms
NCT06114082,Neoplasms by Histologic Type,Carcinoma
NCT02884882,Cysts,Ganglion Cysts
NCT02822482,Neoplasms by Site,Head and Neck Neoplasms
NCT02822482,Neoplasms by Histologic Type,Carcinoma
NCT01471782,Neoplasms by Histologic Type,Leukemia
NCT03672682,Neoplasms by Histologic Type,Lymphoma
NCT05132582,Neoplasms by Site,Breast Neoplasms
NCT00715182,Neoplasms by Site,Kidney Neoplasms
NCT00715182,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT06099782,Neoplasms by Site,Neoplasms by Site
NCT06099782,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT01345682,Neoplasms by Site,Head and Neck Neoplasms
NCT01345682,Neoplasms by Histologic Type,Carcinoma
NCT01271920,Neoplasms by Site,Breast Neoplasms
NCT00294320,Precancerous Conditions,"Keratosis, Actinic"
NCT00074074,Precancerous Conditions,Preleukemia
NCT02825420,Neoplasms by Site,Ovarian Neoplasms
NCT02825420,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT03301220,Neoplasms by Histologic Type,Multiple Myeloma
NCT03301220,Precancerous Conditions,Smoldering Multiple Myeloma
NCT06523374,Neoplasms by Site,Esophageal Neoplasms
NCT06523374,Neoplasms by Histologic Type,Adenocarcinoma
NCT06523374,Precancerous Conditions,Barrett Esophagus
NCT04954820,Neoplasms by Site,Endocrine Gland Neoplasms
NCT04954820,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT05061420,Neoplasms by Site,Head and Neck Neoplasms
NCT05061420,Neoplasms by Histologic Type,Carcinoma
NCT01794520,Neoplasms by Histologic Type,Multiple Myeloma
NCT01214720,Neoplasms by Site,Pancreatic Neoplasms
NCT02115074,Neoplasms by Histologic Type,Glioma
NCT02902874,Neoplasms by Histologic Type,"Lymphoma, Large-Cell, Anaplastic"
NCT03112174,Neoplasms by Histologic Type,Lymphoma
NCT02163720,Neoplasms by Site,Ovarian Neoplasms
NCT02163720,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT01780220,Neoplasms by Histologic Type,Adenocarcinoma
NCT02393820,Neoplasms by Site,Salivary Gland Neoplasms
NCT02393820,Neoplasms by Histologic Type,Carcinoma
NCT03959774,Neoplasms by Site,Colorectal Neoplasms
NCT00874874,Neoplasms by Histologic Type,Sarcoma
NCT03144674,Neoplasms by Histologic Type,Lymphoma
NCT04825574,Neoplasms by Site,Gastrointestinal Neoplasms
NCT04825574,Neoplasms by Histologic Type,Gastrointestinal Stromal Tumors
NCT04316520,Neoplasms by Site,Kidney Neoplasms
NCT04316520,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT04528420,Neoplasms by Site,Head and Neck Neoplasms
NCT04528420,Neoplasms by Histologic Type,Carcinoma
NCT02842320,Neoplasms by Histologic Type,Leukemia
NCT04859920,Neoplasms by Histologic Type,Lymphoma
NCT02432274,Neoplasms by Site,Thyroid Neoplasms
NCT02432274,Neoplasms by Histologic Type,Osteosarcoma
NCT01500720,Neoplasms by Site,Lung Neoplasms
NCT02055820,Neoplasms by Histologic Type,Lymphoma
NCT01434420,Neoplasms by Site,Breast Neoplasms
NCT05704920,Neoplasms by Site,Lung Neoplasms
NCT01708174,Neoplasms by Histologic Type,Medulloblastoma
NCT01210274,Neoplasms by Histologic Type,Leukemia
NCT01210274,Precancerous Conditions,Preleukemia
NCT01480674,Neoplasms by Site,Breast Neoplasms
NCT04417465,Neoplastic Processes,Neoplasm Metastasis
NCT05739565,Neoplasms by Site,Prostatic Neoplasms
NCT05732974,Neoplasms by Site,Lung Neoplasms
NCT06268574,Neoplasms by Histologic Type,Leukemia
NCT06268574,Precancerous Conditions,Preleukemia
NCT01443065,Neoplasms by Site,Stomach Neoplasms
NCT01443065,Neoplasms by Histologic Type,Adenocarcinoma
NCT03721120,Neoplasms by Site,Lung Neoplasms
NCT06555874,Neoplastic Processes,Neoplasm Metastasis
NCT00466674,Neoplasms by Histologic Type,Multiple Myeloma
NCT04222374,Neoplasms by Site,Kidney Neoplasms
NCT04222374,Neoplasms by Histologic Type,Carcinoma
NCT00075465,Neoplasms by Site,Stomach Neoplasms
NCT00075465,Neoplasms by Histologic Type,Adenocarcinoma
NCT03706365,Neoplasms by Site,Prostatic Neoplasms
NCT02573974,Neoplasms by Site,Gastrointestinal Neoplasms
NCT02879474,Neoplasms by Site,Skin Neoplasms
NCT02879474,Neoplasms by Histologic Type,Melanoma
NCT00418574,Neoplasms by Site,Ovarian Neoplasms
NCT00418574,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT03326674,Neoplasms by Site,Breast Neoplasms
NCT02495974,Neoplasms by Site,Prostatic Neoplasms
NCT00083174,Neoplasms by Site,Breast Neoplasms
NCT01095874,Precancerous Conditions,Preleukemia
NCT02893774,Neoplasms by Site,Skin Neoplasms
NCT02893774,Neoplasms by Histologic Type,Melanoma
NCT04952974,Neoplasms by Histologic Type,Lymphoma
NCT02369874,Neoplasms by Site,Head and Neck Neoplasms
NCT02369874,Neoplasms by Histologic Type,Carcinoma
NCT04667065,Neoplasms by Site,"Carcinoma, Bronchogenic"
NCT00136565,Neoplasms by Histologic Type,Lymphoma
NCT00378365,Neoplasms by Histologic Type,Leukemia
NCT04934865,Neoplasms by Site,Lung Neoplasms
NCT03469674,Neoplasms by Site,Endometrial Neoplasms
NCT02719574,Neoplasms by Histologic Type,Leukemia
NCT02719574,Precancerous Conditions,Preleukemia
NCT02540174,Neoplasms by Site,Lung Neoplasms
NCT05154474,Neoplasms by Site,Hematologic Neoplasms
NCT05154474,Neoplasms by Histologic Type,Leukemia
NCT05154474,Neoplastic Processes,Neoplasm Metastasis
NCT05154474,"Neoplasms, Second Primary","Neoplasms, Second Primary"
NCT05020665,Neoplasms by Histologic Type,Leukemia
NCT06091865,Neoplasms by Histologic Type,Lymphoma
NCT01188174,Neoplasms by Histologic Type,"Leukemia, Myeloid, Acute"
NCT04140474,Neoplasms by Site,Multiple Pulmonary Nodules
NCT02018874,Neoplasms by Histologic Type,"Lymphoma, Non-Hodgkin"
NCT00066274,Neoplasms by Site,Colorectal Neoplasms
NCT03361865,Neoplasms by Histologic Type,"Carcinoma, Transitional Cell"
NCT03740165,Neoplasms by Site,Ovarian Neoplasms
NCT03740165,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT02627274,Neoplasms by Site,Head and Neck Neoplasms
NCT02264574,Neoplasms by Histologic Type,Lymphoma
NCT00831974,Neoplasms by Histologic Type,Mastocytosis
NCT04804865,Neoplasms by Histologic Type,Lymphoma
NCT03328065,Neoplasms by Site,Pancreatic Neoplasms
NCT03328065,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT03328065,Neoplastic Processes,Neoplasm Metastasis
NCT03328065,"Neoplasms, Second Primary","Neoplasms, Second Primary"
NCT03669965,Neoplasms by Site,Polycythemia Vera
NCT02134574,Neoplasms by Site,Hematologic Neoplasms
NCT02516774,Neoplasms by Site,Thyroid Neoplasms
NCT02516774,Neoplasms by Histologic Type,"Thyroid Carcinoma, Anaplastic"
NCT01479465,Neoplasms by Site,Colorectal Neoplasms
NCT01479465,Neoplasms by Histologic Type,Adenocarcinoma
NCT01215565,Neoplasms by Site,Liver Neoplasms
NCT01215565,Neoplasms by Histologic Type,Carcinoma
NCT03971565,Neoplasms by Histologic Type,Leukemia
NCT02554565,Neoplasms by Site,Uterine Cervical Neoplasms
NCT06016920,Neoplasms by Site,Head and Neck Neoplasms
NCT06016920,Neoplasms by Histologic Type,Carcinoma
NCT04486820,Neoplasms by Histologic Type,Chordoma
NCT02266420,Neoplasms by Site,Breast Neoplasms
NCT04005820,Neoplasms by Site,Kidney Neoplasms
NCT02101320,Neoplasms by Site,Breast Neoplasms
NCT02853474,Neoplasms by Site,Gastrointestinal Neoplasms
NCT02853474,Neoplasms by Histologic Type,Cholangiocarcinoma
NCT00322374,Neoplasms by Site,Breast Neoplasms
NCT06550674,Neoplasms by Site,Uveal Neoplasms
NCT06550674,Neoplasms by Histologic Type,Melanoma
NCT02014831,Neoplasms by Histologic Type,Carcinoma
NCT00240682,Neoplasms by Histologic Type,Carcinoma
NCT04880382,Neoplasms by Site,Lung Neoplasms
NCT04105920,Neoplasms by Site,Prostatic Neoplasms
NCT03628274,Neoplasms by Histologic Type,Sarcoma
NCT00895674,Neoplasms by Site,Kidney Neoplasms
NCT00895674,Neoplasms by Histologic Type,Carcinoma
NCT00453674,Neoplasms by Site,Adrenal Cortex Neoplasms
NCT00453674,Neoplasms by Histologic Type,Carcinoma
NCT03661320,Neoplasms by Site,Urinary Bladder Neoplasms
NCT00248820,Neoplasms by Site,Ovarian Neoplasms
NCT03713320,Neoplasms by Histologic Type,Lymphoma
NCT00004920,Neoplasms by Site,Lung Neoplasms
NCT00004920,Neoplasms by Histologic Type,Mesothelioma
NCT06117774,Neoplasms by Site,Lung Neoplasms
NCT00382720,Neoplasms by Site,Stomach Neoplasms
NCT05607420,Neoplasms by Histologic Type,Lymphoma
NCT05684874,Neoplasms by Histologic Type,Sarcoma
NCT04516720,Neoplasms by Site,Nervous System Neoplasms
NCT00767520,Neoplasms by Site,Breast Neoplasms
NCT02165020,Neoplasms by Site,Prostatic Neoplasms
NCT02269020,Neoplasms by Histologic Type,Carcinoma
NCT02724020,Neoplasms by Site,Kidney Neoplasms
NCT02724020,Neoplasms by Histologic Type,Carcinoma
NCT04102020,Neoplasms by Histologic Type,Leukemia
NCT03012620,Neoplasms by Site,Ovarian Neoplasms
NCT03012620,Neoplasms by Histologic Type,"Neoplasms, Germ Cell and Embryonal"
NCT01381874,Neoplasms by Site,Breast Neoplasms
NCT01377220,Neoplasms by Site,Liver Neoplasms
NCT01377220,Neoplasms by Histologic Type,Carcinoma
NCT03732820,Neoplasms by Site,Prostatic Neoplasms
NCT02714920,Neoplasms by Site,Head and Neck Neoplasms
NCT01608074,Neoplasms by Site,Hereditary Breast and Ovarian Cancer Syndrome
NCT01608074,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT01197820,Neoplasms by Site,Liver Neoplasms
NCT01197820,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT03505320,Neoplasms by Site,Stomach Neoplasms
NCT02799420,Neoplasms by Site,Stomach Neoplasms
NCT04055220,Neoplasms by Histologic Type,Sarcoma
NCT04437420,Neoplasms by Histologic Type,Leukemia
NCT02869282,Neoplasms by Site,Prostatic Neoplasms
NCT00231582,Neoplasms by Site,Testicular Neoplasms
NCT03000920,Neoplasms by Site,Breast Neoplasms
NCT01639820,Neoplasms by Site,Uterine Cervical Neoplasms
NCT01639820,Precancerous Conditions,Uterine Cervical Dysplasia
NCT02869620,Neoplasms by Site,Thyroid Neoplasms
NCT02453282,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT00814073,Neoplasms by Histologic Type,Mastocytosis
NCT03775473,Neoplasms by Site,Colonic Neoplasms
NCT05415631,Neoplasms by Site,Urinary Bladder Neoplasms
NCT04248231,Neoplasms by Site,Ovarian Neoplasms
NCT04248231,Neoplasms by Histologic Type,Adenocarcinoma
NCT02155582,Neoplasms by Histologic Type,Lymphoma
NCT00006082,Neoplasms by Site,Lung Neoplasms
NCT05728931,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT00106431,Neoplasms by Histologic Type,Lymphoma
NCT06660082,Neoplasms by Site,Cranial Nerve Neoplasms
NCT06660082,Neoplasms by Histologic Type,Neurilemmoma
NCT00028873,Neoplasms by Site,Breast Neoplasms
NCT05676931,Neoplasms by Site,Lung Neoplasms
NCT02675231,Neoplasms by Site,Breast Neoplasms
NCT00062231,Neoplasms by Histologic Type,Lymphoma
NCT00062231,Precancerous Conditions,Preleukemia
NCT04526782,Neoplasms by Site,Lung Neoplasms
NCT01652482,Neoplasms by Site,Colorectal Neoplasms
NCT04191382,Neoplasms by Site,Breast Neoplasms
NCT02314182,Neoplasms by Histologic Type,Adenocarcinoma
NCT04918082,Neoplasms by Site,Breast Neoplasms
NCT00618982,Neoplasms by Site,Kidney Neoplasms
