nctid,facility,city,country
NCT02389244,Centre Georges Francois Leclerc,Dijon,France
NCT02389244,Centre Oscar Lambret,Lille,France
NCT02389244,Centre Léon Berard,Lyon,France
NCT02389244,Institut Paoli Calmettes,Marseille,France
NCT02389244,La Timone University Hospital,Marseille,France
NCT02389244,ICM Val d'Aurelle,Montpellier,France
NCT02389244,Centre Antoine Lacassagne,Nice,France
NCT02389244,Hôpital Cochin,Paris,France
NCT02389244,Institut Curie,Paris,France
NCT02389244,Centre Eugene Marquis,Rennes,France
NCT02389244,Institut de cancerologie de l'ouest site Rene Gauducheau,Saint Herblain,France
NCT02389244,Institut de Cancérologie Lucien Neuwirth (ICLN),Saint Priest En Jarez,France
NCT02389244,Institut Claudius Regaud,Toulouse,France
NCT02389244,CHU Bretonneau,Tours,France
NCT02389244,Institut de cancerologie de lorraine alexis Vautrin,Vandoeuvre Les Nancy,France
NCT02389244,Gustave Roussy,Villejuif,France
NCT03963544,"Institut Bergonié, Comprehensive Cancer Center",Bordeaux,France
NCT01302392,,Lyon,France
NCT01302392,,Nantes,France
NCT01302392,,Nimes,France
NCT06514092,CHU de Toulouse,Toulouse,France
NCT05754892,"GH Paris Centre, Assistance Publique - Hôpitaux de Paris",Paris,France
NCT05329792,Hôpital de la Timone,Marseille,France
NCT05329792,CHU de Nantes - Hôpital Dieu,Nantes,France
NCT05329792,Institut Gustave Roussy,Villejuif,France
NCT01342692,Avicenne hospital,Bobigny,France
NCT04578444,Jean Minjoz Hospital,Besançon,France
NCT04578444,Hopital Timone Marseille,Marseille,France
NCT04578444,Hopital Haut-Leveque - CHU Bordeaux,Pessac,France
NCT04578444,Gustave Roussy Cancer Center,Villejuif,France
NCT05613244,Hôpital Fondation A. de Rothschild,Paris,France
NCT04214444,GYAN,Tours,France
NCT05645692,CHU de Bordeaux - Groupe Hospitalier Saint-André - Hopital Saint-Andre,Bordeaux,France
NCT05645692,Centre Leon Berard,Lyon,France
NCT05645692,Institut Régional du Cancer de Montpellier,Montpellier,France
NCT05645692,Centre Eugène Marquis,Rennes,France
NCT05645692,Gustave Roussy,Villejuif,France
NCT00010244,Hopital Saint Andre,Bordeaux,France
NCT00010244,"Centre de Lute Contre le Cancer,Georges-Francois Leclerc",Dijon,France
NCT00010244,Centre Leon Berard,Lyon,France
NCT00010244,Institut J. Paoli and I. Calmettes,Marseille,France
NCT00010244,Hopital Notre-Dame de Bon Secours,Metz,France
NCT00010244,Centre Regional de Lutte Contre le Cancer - Centre Val d'Aurelle,Montpellier,France
NCT00010244,CRLCC Nantes - Atlantique,Nantes-Saint Herblain,France
NCT00010244,Centre Antoine Lacassagne,Nice,France
NCT00010244,Institut Curie - Section Medicale,Paris,France
NCT00010244,CHU Pitie-Salpetriere,Paris,France
NCT00010244,Hopital Jules Courmont - Centre Hospitalier Lyon Sud,Pierre Benite,France
NCT00010244,Hopital Jean Bernard,Poitiers,France
NCT00010244,Institut Jean Godinot,Reims,France
NCT00010244,Centre Eugene Marquis,Rennes,France
NCT00010244,Centre Henri Becquerel,Rouen,France
NCT00010244,Institut Claudius Regaud,Toulouse,France
NCT00010244,Centre Hospitalier Universitaire Bretonneau de Tours,Tours,France
NCT00010244,Centre Alexis Vautrin,Vandoeuvre-Les-Nancy,France
NCT00010244,Institut Gustave Roussy,Villejuif,France
NCT02629692,Institut Paoli Calmettes,Marseille,France
NCT02629692,Centre Léon Bérard,Lyon,France
NCT02629692,Centre Hospitalier Lyon Sud,Pierre-Bénite,France
NCT02864992,Groupe Hospitalier Sud - Hôpital Haut-Lévêque,Pessac,France
NCT02864992,CHU de Toulouse - Hôpital Larrey,Toulouse,France
NCT02864992,ICO - Site René Gauducheau,Saint Herblain,France
NCT02864992,Clinique Mutualiste de l'Estuaire,Saint Nazaire,France
NCT02864992,ICO - Site Paul Papin,Angers,France
NCT02864992,Centre Hospitalier de Cholet,Cholet,France
NCT02864992,Centre Hospitalier de Bretagne Sud,Lorient,France
NCT02864992,Hopital Albert Calmette - CHU Lille,Lille,France
NCT02864992,Centre Hospitalier de la côte Basque,Bayonne,France
NCT02864992,Centre Hospitalier Départemental Les Oudairies,La Roche Sur Yon,France
NCT02864992,ICO - Site Paul Papin,Angers,France
NCT02864992,Centre Hospitalier de la côte Basque,Bayonne,France
NCT02864992,Centre Hospitalier de Cholet,Cholet,France
NCT02864992,Centre Hospitalier Intercommunal de Créteil,Creteil,France
NCT02864992,Centre Hospitalier Départemental Les Oudairies,La Roche Sur Yon,France
NCT02864992,Hopital Albert Calmette - CHU Lille,Lille,France
NCT02864992,Centre Hospitalier de Bretagne Sud,Lorient,France
NCT02864992,Hôpital Saint-Louis,Paris,France
NCT02864992,Groupe Hospitalier Sud - Hôpital Haut-Lévêque,Pessac,France
NCT02864992,ICO - Site René Gauducheau,Saint Herblain,France
NCT02864992,Clinique Mutualiste de l'Estuaire,Saint Nazaire,France
NCT02864992,CHU de Toulouse - Hôpital Larrey,Toulouse,France
NCT00413192,,Bordeaux,France
NCT00413192,,Lyon,France
NCT00413192,,Marseille,France
NCT00413192,,Villejuif,France
NCT04948840,Centre Hospitalier de Metz Thionville,Metz,France
NCT04948840,Institut de Cancérologie de Lorraine,Nancy,France
NCT00986440,Hopitaux civils de colmar,Colmar,France
NCT00986440,Hopital Edouard Herriot,Lyon,France
NCT00986440,Service d'Oncologie Medicale,Rennes,France
NCT00986440,Centre Hospitalier Prive Saint Gregoire,Saint Grégoire,France
NCT00224744,Institut Paoli-Calmettes,Marseille,France
NCT00224744,Institut Claudius Regaud,Toulouse,France
NCT05119244,Centre Chirurgical Marie Lannelongue,Le Plessis Robinson,France
NCT05119244,Institut Gustave Roussy,Villejuif,France
NCT06564844,Research Site,Angers,France
NCT06564844,Research Site,Marseille,France
NCT06564844,Research Site,Paris,France
NCT06564844,Research Site,Rouen,France
NCT06564844,Research Site,Suresnes,France
NCT06564844,Research Site,Toulon,France
NCT03235544,Avicenne Hospital,Bobigny,France
NCT03235544,Chu de Clermont - Ferrand- Hospital Estaing,Clermont-Ferrand,France
NCT03235544,Centre Hospitalier Universitaire Henri Mondor,Creteil,France
NCT03235544,University Hospital Grenoble,Grenoble,France
NCT03235544,Centre Hospitalier Departemental - La-Roche-Sur-Yon - Les Oudairies,La Roche Sur Yon,France
NCT03235544,Centre Hospitalier Universitaire de Grenoble,La Tronche,France
NCT03235544,Centre Hospitalier de Versailles,Le Chesnay,France
NCT03235544,Hospices Civils de Lyon Centre Hospitalier Lyon Sud,Lyon,France
NCT03235544,Centre Antoine Lacassagne,Nice,France
NCT03235544,Hopital Saint-Louis,Paris,France
NCT03235544,H�Pital Universitaire Piti�-Salp�Tri�Re,Paris,France
NCT03235544,Centre Hospitalier Lyon-Sud,Pierre-Bénite,France
NCT03235544,Centre Hospitalier Universitaire de Poitiers,Poitiers,France
NCT03235544,Centre Henri Becquerel,Rouen,France
NCT03235544,"Chru Hopitaux de Tours, Hospital Bretonneau",Tours,France
NCT03235544,Institute Gustave Roussy (Igr),Villejuif,France
NCT03418844,Centre Paul Papin,Angers,France
NCT03418844,CHU Besançon Jean MINJOZ,Besançon,France
NCT03418844,Institut Bergonié,Bordeaux,France
NCT03418844,CH Fleyriat,Bourg-En-Bresse,France
NCT03418844,Centre François Baclesse,Caen,France
NCT03418844,Centre Jean Perrin,Clermont-Ferrand,France
NCT03418844,Centre Léon Berard,Lyon,France
NCT03418844,Institut Paoli Calmettes,Marseille,France
NCT03418844,Centre Catherine de Sienne,Nantes,France
NCT03418844,Institut de Cancérologie de l'Ouest,Nantes,France
NCT03418844,GH Cochin Broca Hôtel-Dieu,Paris,France
NCT03418844,HEGP,Paris,France
NCT03418844,Hôpital Diaconesses-Croix St Simon,Paris,France
NCT03418844,"Institut Curie,",Paris,France
NCT03418844,Institut Gustave Roussy,Paris,France
NCT03418844,CHU Poitiers,Poitiers,France
NCT03418844,Institut Jean Godinot,Reims,France
NCT03418844,Institut Rennais de Cancérologie,Rennes,France
NCT03418844,CHRU Stasbourg Hôpital Civil,Strasbourg,France
NCT02477644,Hôpital Européen Georges Pompidou,Paris,France
NCT02477644,ICO Paul Papin,Angers,France
NCT02477644,Institut Sainte-Catherine,Avignon,France
NCT02477644,Hôpital Jean Minjoz,Besancon,France
NCT02477644,Institut Bergonié,Bordeaux,France
NCT02477644,Polyclinique Bordeaux Nord,Bordeaux,France
NCT02477644,Centre François Baclesse,Caen,France
NCT02477644,Centre Jean Perrin,Clermont-Ferrand,France
NCT02477644,Centre Georges François Leclerc,Dijon,France
NCT02477644,Groupe Hospitalier Mutualiste de Grenoble,Grenoble,France
NCT02477644,Centre Hospitalier Départemental Les Oudairies,La Roche-Sur-Yon,France
NCT02477644,Hôpital Michallon - Centre Hospitalier Universitaire de Grenoble,La Tronche,France
NCT02477644,Centre Jean Bernard - Clinique Victor Hugo,Le Mans,France
NCT02477644,Centre Hospitalier Régional Universitaire de Lille - Hôpital Huriez,Lille,France
NCT02477644,Centre Oscar Lambret,Lille,France
NCT02477644,Centre Léon Bérard,Lyon,France
NCT02477644,Institut Paoli Calmettes,Marseille,France
NCT02477644,Hôpital de Mont-de-Marsan,Mont-De-Marsan,France
NCT02477644,ICM Val d'Aurelle,Montpellier,France
NCT02477644,Centre Azuréen de Cancérologie,Mougins,France
NCT02477644,Centre Catherine de Sienne - Group confluent,Nantes,France
NCT02477644,Centre Antoine Lacassagne,Nice,France
NCT02477644,Centre Hospitalier Régional d'Orléans,Orleans,France
NCT02477644,Institut Curie - Hopital Claudius Régaud,Paris,France
NCT02477644,Hôpital des Diaconesses,Paris,France
NCT02477644,Hôpital Cochin,Paris,France
NCT02477644,Hopital Tenon,Paris,France
NCT02477644,Groupe Hospitalier Saint-Joseph,Paris,France
NCT02477644,Clinique Francheville,Perigueux,France
NCT02477644,Centre Hospitalier Lyon Sud,Pierre-Benite,France
NCT02477644,Centre CARIO - HPCA,Plérin,France
NCT02477644,Hôpital de la Milétrie - CHU de Poitiers - Pôle Régional de Cancérologie,Poitiers,France
NCT02477644,Centre Eugène Marquis,Rennes,France
NCT02477644,Centre Henri Becquerel,Rouen,France
NCT02477644,"Hôpital René Huguenin, Institut Curie",Saint-Cloud,France
NCT02477644,ICO Centre René Gauducheau,Saint-Herblain,France
NCT02477644,Centre de Radiothérapie - Clinique Sainte-Anne,Strasbourg,France
NCT02477644,Centre Paul Strauss,Strasbourg,France
NCT02477644,Hôpitaux Universitaires de Strasbourg,Strasbourg,France
NCT02477644,Institut Claudius Regaud,Toulouse,France
NCT02477644,Clinique Pasteur - ONCOSUD,Toulouse,France
NCT02477644,ICL Institut de Cancérologie de Lorraine,Vandoeuvre-Les-Nancy,France
NCT02477644,Institut Gustave Roussy,Villejuif,France
NCT06469944,Centre Hospitalier Régional Universitaire de Brest - Hôpital-Institut de cancérologie et hématologi,Brest,France
NCT06469944,CIC. ( Site 5100),Lille,France
NCT06469944,Pitie Salpetriere University Hospital-Hepato-Gastro-Enterology ( Site 5102),Paris,France
NCT01032044,Centre Hospitalier Universitaire,Nantes,France
NCT00450892,Institut Bergonie,Bordeaux,France
NCT00450892,Institut Bergonié,Bordeaux,France
NCT00450892,CHRU de Limoges,Limoges,France
NCT00450892,Centre Leon Berard,Lyon,France
NCT00450892,CRLC Val D'Aurelle,Montpellier,France
NCT00450892,Centre Henri Becquerel,Rouen,France
NCT00450892,Hopital Rene Huguenin - Institut Curie,Saint-Cloud,France
NCT00450892,Centre Paul Strauss,Strasbourg,France
NCT00450892,Institut Gustave Roussy,Villejuif,France
NCT03899792,Gustave Roussy,Villejuif,France
NCT04903340,CHU Bordeaux,Bordeaux,France
NCT03053440,Centre Leon Berard,Lyon,France
NCT00103844,Local Institution,Lille,France
NCT00103844,Local Institution,Lyon,France
NCT00103844,Local Institution,Nantes,France
NCT00103844,Local Institution,Paris,France
NCT00103844,Local Institution,Pessac,France
NCT00103844,Local Institution,Poitiers,France
NCT00103844,Local Institution,Strasbourg,France
NCT02854644,Centre Hospitalier Régional Universitaire,Besançon,France
NCT01193244,,Angers,France
NCT01193244,,Bordeaux,France
NCT01193244,,Caen,France
NCT01193244,,Creteil,France
NCT01193244,,La Roche Sur Yon,France
NCT01193244,,Lyon,France
NCT01193244,,Marseille,France
NCT01193244,,Nancy,France
NCT01193244,,Nantes,France
NCT01193244,,Paris,France
NCT01193244,,Paris,France
NCT01193244,,Paris,France
NCT01193244,,Poitiers,France
NCT01193244,,Saint-Etienne,France
NCT01193244,,Villejuif,France
NCT03313544,Assistance Publique Hopitaux de Marseille,Marseille,France
NCT01797692,Hopitaux universitaires de Strasbourg,Strasbourg,France
NCT01797692,Centre François BACLESSE,Caen,France
NCT01797692,Clinique Claude BERNARD,Albi,France
NCT01797692,CHRU,Besancon,France
NCT01797692,CHIC,Castres,France
NCT00866944,Centre Paul Strauss,Strasbourg,France
NCT04553692,Institut Bergonié,Bordeaux,France
NCT04553692,Centre Georges Francois Leclerc,Dijon,France
NCT04553692,Saint Louis Hospital,Paris,France
NCT04553692,Institut de Cancérologie de l'Ouest,Saint-Herblain,France
NCT04553692,Gustave Roussy,Villejuif,France
NCT03483792,"Hôpital Jeanne de Flandres, CHU",Lille,France
NCT04899492,Institut de Cancerologie de l'Ouest (ICO),Saint-Herblain,France
NCT03686592,GENRE,Marseille,France
NCT00329940,Novartis Investigative Site,Saint Cloud,France
NCT03624244,CHU Besançon,Besançon,France
NCT03624244,Insitut Bergonié,Bordeaux,France
NCT03624244,Centre François Baclesse,Caen,France
NCT03624244,Centre Jean Perrin,Clermont-Ferrand,France
NCT03624244,Centre Oscar Lambret,Lille,France
NCT03624244,CHU Dupuytren,Limoges,France
NCT03624244,Centre Léon Bérard,Lyon,France
NCT03624244,Hopital La Timone,Marseille,France
NCT03624244,Hopital La Timone,Marseille,France
NCT03624244,Institut Paoli Calmette,Marseille,France
NCT03624244,Institut de Cancérologie de Montpellier,Montpellier,France
NCT03624244,Centre Antoine Lacassagne,Nice,France
NCT03624244,Hopital Pitié Salpétrière,Paris,France
NCT03624244,AP-HP Hopîtal Cochin,Paris,France
NCT03624244,Insitut Curie,Paris,France
NCT03624244,Institut Godinot,Reims,France
NCT03624244,Centre Henri Becquerel,Rouen,France
NCT03624244,ICO Centre René Gauducheau,Saint-Herblain,France
NCT03624244,CHUSE,Saint-Priest-En-Jarez,France
NCT03624244,Hopital Privé de la Loire,Saint-Étienne,France
NCT03624244,CHU Tours,Tours,France
NCT03624244,Institut Gustave Roussy,Villejuif,France
NCT05289492,CHU Amiens,Amiens,France
NCT05289492,Centre Hospitalier Universitaire de Nantes,Nantes,France
NCT05289492,APHP Hôpital Saint-Antoine,Paris,France
NCT05289492,CHU de Poitiers,Poitiers,France
NCT05289492,CHU Toulouse,Toulouse,France
NCT04010240,Institut Bergonié,Bordeaux,France
NCT02555644,Centre Leon Berard,Lyon,France
NCT02555644,Gustave Roussy,Villejuif,France
NCT03794544,Research Site,Marseille,France
NCT03794544,Research Site,Toulouse,France
NCT01910844,Centre Jean Perrin,Clermont-Ferrand,France
NCT01449344,"CH Victor Dupouy, Service hématologie",Argenteuil,France
NCT01449344,"Centre Hospitalier de la côte Basque, Service hématologie",Bayonne,France
NCT01449344,"CH de Blois, Service hématologie",Blois,France
NCT01449344,"Institut Bergonie, Service Hématologie",Bordeaux,France
NCT01449344,"CH Sud Francilien de Corbeil, Service hématologie",Corbeil Essonnes,France
NCT01449344,"Hôpital Henri Mondor, Service hématologie",Créteil,France
NCT01449344,"Hôpital Albert Michallon, Service hématologie",Grenoble,France
NCT01449344,"CH Mulhouse, Service hématologie",Le Mans,France
NCT01449344,"Clinique Victor Hugo, Service hématologie",Le Mans,France
NCT01449344,"CH du Mans, Service hématologie",Le Mans,France
NCT01449344,"CHU de Nice, Service hématologie",Nice,France
NCT01449344,"CHU Necker, Service d'hématologie - adulte",Paris,France
NCT01449344,"Hôpital Haut Lévêque, Service hématologie",Pessac,France
NCT01449344,"CHU Lyon Sud, Service hématologie",Pierre Benite,France
NCT01449344,"Hôpital Jean Bernard, Service hématologie",Poitiers,France
NCT01449344,"CH René Dubos, Service hématologie",Pontoise,France
NCT01449344,"CHU Robert Debré, Service hématologie",Reims,France
NCT01449344,"Hôpital Bretonneau, Service hématologie, Bâtiment H. Kaplan",Tours,France
NCT01449344,"CHU Brabois, Service hématologie",Vandoeuvre Les Nancy,France
NCT01449344,"CH de Bretagne Atlantique, Service Hématologie",Vannes,France
NCT01449344,Institut Gustave ROUSSY,Villejuif,France
NCT01461044,,Aix En Provence,France
NCT01461044,,Aix En Provence,France
NCT01461044,,Ajaccio,France
NCT01461044,,Amiens,France
NCT01461044,,Antony,France
NCT01461044,,Arras,France
NCT01461044,,Bastia,France
NCT01461044,,Bayonne,France
NCT01461044,,Beauvais,France
NCT01461044,,Besancon,France
NCT01461044,,Beziers,France
NCT01461044,,Bobigny,France
NCT01461044,,Bordeaux,France
NCT01461044,,Bordeaux,France
NCT01461044,,Boulogne-Billancourt,France
NCT01461044,,Bourg En Bresse,France
NCT01461044,,Brest,France
NCT01461044,,Caen,France
NCT01461044,,Chambery,France
NCT01461044,,Chateauroux,France
NCT01461044,,Cherbourg Octeville,France
NCT01461044,,Clermont Ferrand,France
NCT01461044,,Clermont Ferrand,France
NCT01461044,,Creteil,France
NCT01461044,,Dax,France
NCT01461044,,Dijon,France
NCT01461044,,Eaubonne,France
NCT01461044,,Evreux,France
NCT01461044,,Grenoble,France
NCT01461044,,La Chaussee St Victor,France
NCT01461044,,La Roche Sur Yon,France
NCT01461044,,La Tronche,France
NCT01461044,,Le Coudray,France
NCT01461044,,Lille,France
NCT01461044,,Lille,France
NCT01461044,,Limoges,France
NCT01461044,,Longjumeau,France
NCT01461044,,Lorient,France
NCT01461044,,Lormont,France
NCT01461044,,Lyon,France
NCT01461044,,Lyon,France
NCT01461044,,Marseille,France
NCT01461044,,Marseille,France
NCT01461044,,Marseille,France
NCT01461044,,Metz,France
NCT01461044,,Montivilliers,France
NCT01461044,,Mougins,France
NCT01461044,,Nancy,France
NCT01461044,,Narbonne,France
NCT01461044,,Nice,France
NCT01461044,,Osny,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Paris,France
NCT01461044,,Perigueux,France
NCT01461044,,Reims,France
NCT01461044,,Romans Sur Isere,France
NCT01461044,,Rouen,France
NCT01461044,,Rouen,France
NCT01461044,,Saint Brieuc,France
NCT01461044,,Saint Gregoire,France
NCT01461044,,Saint Jean,France
NCT01461044,,Senlis,France
NCT01461044,,Soyaux,France
NCT01461044,,St Cloud,France
NCT01461044,,St Germain En Laye,France
NCT01461044,,St Michel,France
NCT01461044,,St Priest En Jarez,France
NCT01461044,,Strasbourg,France
NCT01461044,,Toulon,France
NCT01461044,,Toulouse,France
NCT01461044,,Toulouse,France
NCT01461044,,Troyes,France
NCT01461044,,Valence,France
NCT01461044,,Vannes,France
NCT01461044,,Verdun,France
NCT01461044,,Villejuif,France
NCT00911092,Centre Paul Papin,Angers,France
NCT00911092,Centre Hospitalier Universitaire,Brest,France
NCT00911092,Centre François BACLESSE,Caen,France
NCT00911092,Centre Oscar Lambret,Lille,France
NCT00911092,Centre Eugène Marquis,Rennes,France
NCT00911092,CHU - Hopital Charles Nicolle,Rouen,France
NCT03070392,Centre Atoine Lacassagne,Nice,France
NCT03070392,Institut Curie,Paris,France
NCT05215340,Sainte-Catherine Institut du Cancer Avignon-Provence (ICAP),Avignon,France
NCT05215340,Bordeaux University Hospital - Hopital Saint Andre,Bordeaux,France
NCT05215340,Institut Bergonie,Bordeaux,France
NCT05215340,Centre Hospitalier Universitaire de Lille,Lille,France
NCT05215340,Centre Leon Berard,Lyon,France
NCT05215340,Institut Paoli-Calmettes,Marseille,France
NCT05215340,APHM - Hopital Nord,Marseille,France
NCT05215340,Centre Hospitalier Universitaire de Montpellier,Montpellier,France
NCT05215340,Hopital prive du Confluent,Nantes,France
NCT05215340,CHU de Nantes,Nantes,France
NCT05215340,AP-HP - Hopital Tenon,Paris,France
NCT05215340,CHU de Poitier Pole Regional de Cancerologie,Poitiers,France
NCT05215340,Hopital FOCH,Suresnes,France
NCT02491840,"University Hospital, Strasbourg, france",Strasbourg,France
NCT00838240,Hôpital Saint Antoine AP-HP,Paris,France
NCT02335944,Novartis Investigative Site,Marseille,France
NCT02042144,,Multiple Locations,France
NCT06796244,Fondation JDB Prévention cancer,Fontenay-Les-Briis,France
NCT04876092,CHRU de Lille Hopital Claude Huriez,Lille,France
NCT04876092,Institut Paoli Calmettes,Marseille,France
NCT04876092,CHU de Nantes hotel Dieu,Nantes,France
NCT04876092,Hopital St Louis,Paris,France
NCT04876092,CHU de Bordeaux - Hospital Haut-Leveque,Pessac,France
NCT04876092,Gustave Roussy,Villejuif,France
NCT01721044,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.",Montpellier,France
NCT01721044,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.",Orleans,France
NCT01721044,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.",Paris,France
NCT01721044,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.",Rennes,France
NCT01721044,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.",Tours,France
NCT00925444,Assistance Publique Hopitaux de Paris,Paris,France
NCT05883644,Research Site,Bobigny,France
NCT05883644,Research Site,Clichy,France
NCT05883644,Research Site,Creteil,France
NCT05883644,Research Site,Lyon,France
NCT05883644,Research Site,Marseille,France
NCT05883644,Research Site,Rennes,France
NCT04791644,"Hôpital Avicenne, AP-HP, Service de Gastroentérologie et Oncologie Digestive",Bobigny,France
NCT03076892,"CHRU, Hôpital Claude Huriez",Lille,France
NCT03570892,Novartis Investigative Site,Lille,France
NCT03570892,Novartis Investigative Site,Montpellier,France
NCT03570892,Novartis Investigative Site,Nantes,France
NCT03570892,Novartis Investigative Site,Paris 10,France
NCT03570892,Novartis Investigative Site,Pierre Benite,France
NCT03570892,Novartis Investigative Site,Toulouse,France
NCT00670592,Novartis Investigative Site,Creteil,France
NCT00670592,Novartis Investigative Site,Le Mans,France
NCT00670592,Novartis Investigative Site,Lille,France
NCT00670592,Novartis Investigative Site,Montpellier,France
NCT00670592,Novartis Investigative Site,Paris,France
NCT00670592,Novartis Investigative Site,Pierre-Benite Cédex,France
NCT04194944,Assistance Publique Hôpitaux de Marseille - Hôpital de la Timone,Marseille,France
NCT04194944,Institut Régional du Cancer Montpellier,Montpellier,France
NCT04194944,Chu Grenoble Alpes,La Tronche,France
NCT04194944,Centre Jean Perrin - Centre Régional de Lutte contre le Cancer d'Auvergne,Clermont-Ferrand,France
NCT04194944,Centre Leon Berard,Lyon,France
NCT04194944,Hopitaux Universitaires Paris Centre-Hopital Cochin,Paris,France
NCT03988192,Hôpital Foch,Suresnes,France
NCT01817192,Toulon HIA Sainte Anne-,Toulon,France
NCT01817192,Polyclinique Bordeaux Nord,Bordeaux,France
NCT01817192,Hôpital Charles Nicolle,Rouen,France
NCT01817192,CHU d'Angers Service Pneumologie,Angers,France
NCT01817192,Centre Hospitalier de la Côte Basque,Bayonne,France
NCT01817192,CHRU Besançon- Hôpital J. MINJOZ,Besancon,France
NCT01817192,Hôpital APHP Ambroise Paré,Boulogne,France
NCT01817192,Hia Percy,Clamart,France
NCT01817192,Centre Hospitalier Intercommunal de Créteil,Créteil,France
NCT01817192,Centre Hospitalier Départemental Vendée,La Roche-Sur-Yon,France
NCT01817192,Hôpital Privé Jean Mermoz,Lyon,France
NCT01817192,Hôpital Europeen,Marseille,France
NCT01817192,Hôpital Nord,Marseille,France
NCT01817192,Groupe Hospitalier Région de Mulhouse Sud -Alsace,Mulhouse,France
NCT01817192,Centre Hospitalier Universitaire de Nîmes,Nîmes,France
NCT01817192,Hôpital Cochin,Paris,France
NCT01817192,Hôpital Tenon,Paris,France
NCT01817192,Hôpital Paris Saint Joseph,Paris,France
NCT01817192,Hôpital Bichat,Paris,France
NCT01817192,Hôpital Haut-Lévèque (Bordeaux - CHU),Pessac,France
NCT01817192,Chu de Poitiers,Poitiers,France
NCT01817192,Hôpital Larrey,Toulouse,France
NCT01817192,CHRU de Tours,Tours,France
NCT01817192,Gustave Roussy,Villejuif,France
NCT04458740,Registre du Cancer,Poitiers,France
NCT02605044,"Hopital Europeen George Pomipidou, Hepato-Gastro-enterologie, 20 rue Leblanc",Paris,France
NCT04497844,Institut de Cancerologie de l Ouest ICO,Angers,France
NCT04497844,Institut Sainte Catherine,Avignon,France
NCT04497844,CHRU De Besancon,Besancon,France
NCT04497844,Institut Bergonie,Bordeaux,France
NCT04497844,Centre Jean Perrin,Clermont Ferrand,France
NCT04497844,Centre Georges Francois Leclerc,Dijon,France
NCT04497844,Centre Oscar Lambret,Lille,France
NCT04497844,Centre Leon Berard,Lyon,France
NCT04497844,Hopital Prive Jean Mermoz,Lyon,France
